Name of Player,Position,Team,Games Played,At Bats,Runs,Hits,Doubles,Triples,HomeRuns,RBI,Walks,Strike Outs,Stolen Bases,Caught Stealing,Average,On Base Percentage,Slugging,On Base plus Slugging
Dansby Swanson,SS,ATL,60,237,49,65,15,0,10,35,22,71,5,0,0.274,0.345,0.464,0.809
Trevor Story,SS,COL,59,235,41,68,13,4,11,28,24,63,15,3,0.289,0.355,0.519,0.874
Trea Turner,SS,WSH,59,233,46,78,15,4,12,41,22,36,12,4,0.335,0.394,0.588,0.982
Starling Marte,CF,MIA,61,228,36,64,14,1,6,27,12,41,10,2,0.281,0.34,0.43,0.77
Marcell Ozuna,DH,ATL,60,228,38,77,14,0,18,56,38,60,0,0,0.338,0.431,0.636,1.067
Manny Machado,3B,SD,60,224,44,68,12,1,16,47,26,37,6,3,0.304,0.37,0.58,0.95
Fernando Tatis Jr.,SS,SD,59,224,50,62,11,2,17,45,27,61,11,3,0.277,0.366,0.571,0.937
Javier Baez,SS,CHC,59,222,27,45,9,1,8,24,7,75,3,0,0.203,0.238,0.36,0.599
Charlie Blackmon,RF,COL,59,221,31,67,12,1,6,42,19,44,2,1,0.303,0.356,0.448,0.804
Mookie Betts,RF,LAD,55,219,47,64,9,1,16,39,24,38,10,2,0.292,0.366,0.562,0.928
Nick Castellanos,RF,CIN,60,218,37,49,11,2,14,34,19,69,0,2,0.225,0.298,0.486,0.784
Christian Walker,1B,ARI,57,218,35,59,18,1,7,34,19,50,1,1,0.271,0.333,0.459,0.792
Keston Hiura,2B,MIL,59,217,30,46,4,0,13,32,16,85,3,2,0.212,0.297,0.41,0.707
Andrew McCutchen,LF,PHI,57,217,32,55,9,0,10,34,22,48,4,0,0.253,0.324,0.433,0.757
Didi Gregorius,SS,PHI,60,215,34,61,10,2,10,40,15,28,3,2,0.284,0.339,0.488,0.827
Trent Grisham,CF,SD,59,215,42,54,8,3,10,26,31,64,10,1,0.251,0.352,0.456,0.808
Freddie Freeman,1B,ATL,60,214,51,73,23,1,13,53,45,37,2,0,0.341,0.462,0.64,1.102
Cody Bellinger,CF,LAD,56,213,33,51,10,0,12,30,30,42,6,1,0.239,0.333,0.455,0.789
Corey Seager,SS,LAD,52,212,38,65,12,1,15,41,17,37,1,0,0.307,0.358,0.585,0.943
Adam Frazier,2B,PIT,58,209,22,48,7,0,7,23,17,35,1,3,0.23,0.297,0.364,0.661
Pete Alonso,1B,NYM,57,208,31,48,6,0,16,35,24,61,1,0,0.231,0.326,0.49,0.817
Tommy Edman,3B,STL,55,204,29,51,7,1,5,26,16,48,2,4,0.25,0.317,0.368,0.685
Eduardo Escobar,3B,ARI,54,203,22,43,7,3,4,20,15,41,1,0,0.212,0.27,0.335,0.605
Max Muncy,1B,LAD,58,203,36,39,4,0,12,27,39,60,1,0,0.192,0.331,0.389,0.72
David Peralta,LF,ARI,54,203,19,61,10,1,5,34,13,45,1,0,0.3,0.339,0.433,0.773
Anthony Rizzo,1B,CHC,58,203,26,45,6,0,11,24,28,38,3,1,0.222,0.342,0.414,0.755
Michael Conforto,RF,NYM,54,202,40,65,12,0,9,31,24,57,3,3,0.322,0.412,0.515,0.927
Brian Anderson,3B,MIA,59,200,27,51,7,1,11,38,22,66,0,0,0.255,0.345,0.465,0.81
Christian Yelich,LF,MIL,58,200,39,41,7,1,12,22,46,76,4,2,0.205,0.356,0.43,0.786
Nick Ahmed,SS,ARI,57,199,29,53,10,1,5,29,18,46,4,0,0.266,0.327,0.402,0.729
Wilmer Flores,DH,SF,55,198,30,53,11,1,12,32,13,36,1,0,0.268,0.315,0.515,0.83
